presentmentioned,character_type,cor,p_value
Present,white_upper_class_male,0.8595,0
Both,white_upper_class_male,0.8576,0
Mentioned,white_upper_class_male,0.7423,0
Mentioned,white_upper_class_female,0.6251,0
Mentioned,white_lower_class_male,0.4971,0
Present,white_upper_class_female,0.4782,0
Both,white_upper_class_female,0.4745,0
Mentioned,black_free_black_male,0.4026,0
Present,mixedblackwhite_upper_class_male,0.3848,0
Both,mixedblackwhite_upper_class_male,0.3837,0
Present,white_lower_class_male,0.3113,0
Both,white_lower_class_male,0.3105,0
Present,mixedblackwhite_free_black_male,0.2864,0
Both,mixedblackwhite_free_black_male,0.2855,0
Present,black_free_black_female,0.2809,0
Both,black_free_black_female,0.28,0
Mentioned,white_middle_class_male,0.2665,0
Both,white_middle_class_male,0.2261,0
Present,white_middle_class_male,0.2252,0
Mentioned,mixedblackwhite_free_black_male,0.225,0
Present,white_poor_white_male,0.2118,0
Both,white_poor_white_male,0.2108,0
Mentioned,white_middle_class_female,0.1939,0
Both,white_middle_class_female,0.1908,0
Present,white_middle_class_female,0.1896,0
Mentioned,white_indeterminable_female,0.1563,0
Mentioned,white_poor_white_male,0.1547,0
Present,black_free_black_male,0.1472,0
Both,black_free_black_male,0.1465,0
Present,white_lower_class_female,0.1392,0
Both,white_lower_class_female,0.1384,0
Mentioned,black_enslaved_black_male,0.1334,2.8879749704241378e-260
Mentioned,white_lower_class_female,0.1235,4.000966633766142e-223
Present,black_enslaved_black_male,0.1186,4.038603460251963e-263
Both,black_enslaved_black_male,0.1181,1.2778841631836595e-261
Mentioned,mixedblackwhite_enslaved_black_female,0.1151,8.09339694191425e-194
Mentioned,black_enslaved_black_female,0.1097,5.3868375951104984e-176
Mentioned,black_free_black_female,0.1093,8.531412732823754e-175
Mentioned,mixedblackwhite_enslaved_black_male,0.1088,2.8535815180632613e-173
Mentioned,indian_indian_tribal_leader_male,0.1019,3.1747204386190454e-152
