code,name,value,correlation_cof,p_value,n,presentmentioned
AA,mixedblackwhite_upper_class_male,0.9136286225255089,0.9136286225255089,0,1,Both
AA,white_upper_class_male,0.9587302591181533,0.9587302591181533,0,36,Both
ABH,white_lower_class_male,0.9199085548613454,0.9199085548613454,9.714009165457774e-121,23,Both
ABH,white_upper_class_male,0.6387971606376392,0.6387971606376392,4.109083256979706e-35,36,Both
AD,white_indeterminable_male,0.7800528947776967,0.7800528947776967,1.1949380783316587e-122,2,Both
AD,white_lower_class_male,0.5632464050410263,0.5632464050410263,5.0752825795623785e-51,23,Both
AD,white_middle_class_female,0.5246634452080421,0.5246634452080421,2.544899799149498e-43,6,Both
AD,white_upper_class_male,0.9299549945257112,0.9299549945257112,1.9981532691692648e-259,36,Both
ADP,white_lower_class_male,0.5551364930013956,0.5551364930013956,1.801421004344177e-33,23,Both
ADP,white_middle_class_male,0.610467404332894,0.610467404332894,6.626605965693222e-42,13,Both
ADP,white_upper_class_male,0.7477849705272755,0.7477849705272755,2.950373143992969e-72,36,Both
AMB,black_enslaved_black_female,0.630004157952576,0.630004157952576,1.2717286377603114e-46,2,Both
AMB,black_enslaved_black_male,0.994738209660373,0.994738209660373,0,7,Both
AMB,white_indeterminable_male,0.5426034764077153,0.5426034764077153,1.0945432926511299e-32,2,Both
AMB,white_middle_class_male,0.8228639304694843,0.8228639304694843,5.9567398322332425e-102,13,Both
AMB,white_upper_class_female,0.633016488613765,0.633016488613765,3.4917362993188655e-47,13,Both
AMB,white_upper_class_male,1,1,0,36,Both
BAR,mixedblackindian_free_black_male,0.6019325222209091,0.6019325222209091,7.751152738834471e-26,1,Both
BAR,white_upper_class_male,0.9249347680827121,0.9249347680827121,2.522150566211987e-105,36,Both
BB,white_poor_white_male,0.9986779659195949,0.9986779659195949,0,8,Both
BE,black_free_black_female,0.5724425511465602,0.5724425511465602,7.790625368744134e-42,7,Both
BE,black_free_black_male,0.5698745735864379,0.5698745735864379,2.1439842298644866e-41,9,Both
BE,white_upper_class_male,0.9964458127741995,0.9964458127741995,0,36,Both
