code,name,value,correlation_cof,p_value,n,presentmentioned
AA,judith_sutpen,0.9390878943241152,0.9390878943241152,0,1,Mentioned
ABH,mrs._provine,0.5384227817210371,0.5384227817210371,8.326768248740996e-17,1,Mentioned
AD,unnamed_son_of_captured_german_aviator,0.5052636716379715,0.5052636716379715,9.329160827123868e-26,1,Mentioned
AD,unnamed_wife_of_captured_german_aviator,0.5485036473198198,0.5485036473198198,6.416849943478772e-31,1,Mentioned
ADP,captain_spoomer,0.5558756712243805,0.5558756712243805,1.971062813620108e-24,1,Mentioned
AMB,colonel_john_sartoris,0.9999999999999999,0.9999999999999999,1.5501765212776636e-228,4,Mentioned
AMB,louvinia,0.9999999999999999,0.9999999999999999,1.5501765212776636e-228,1,Mentioned
AMB,rosa_millard,0.9999999999999999,0.9999999999999999,1.5501765212776636e-228,5,Mentioned
BAR,sam_fathers,0.6131793927687765,0.6131793927687765,4.312401201534496e-15,1,Mentioned
BB,major_de_spain,0.6292341587064608,0.6292341587064608,1.1406991713106707e-23,2,Mentioned
BE,howard_allison_(junior),0.6557514519734328,0.6557514519734328,7.784058007962333e-54,1,Mentioned
CRT,david_colbert,0.7452156937002099,0.7452156937002099,8.787684752824547e-30,1,Mentioned
CRT,unnamed_second_cousin_of_herman_basket's_aunt,0.5323320011287551,0.5323320011287551,3.659292806486878e-13,1,Mentioned
CRT,unnamed_wife_of_david_colbert,0.5323320011287551,0.5323320011287551,3.659292806486878e-13,1,Mentioned
DD,jones,0.6183380902250569,0.6183380902250569,6.269505734955416e-41,1,Mentioned
DEL,don_boyd,0.5961335321239947,0.5961335321239947,6.788313147219374e-19,1,Mentioned
DEL,isham,0.617728154302464,0.617728154302464,1.56359661193949e-20,1,Mentioned
DS,minnie_cooper,0.7328850066261376,0.7328850066261376,1.8731881243493535e-34,1,Mentioned
DS,will_mayes,0.9999999999999998,0.9999999999999998,0,1,Mentioned
EIC,ellie_flint,0.7825549201934158,0.7825549201934158,2.629454988415298e-70,1,Mentioned
EIC,joel_flint,0.6132957069486359,0.6132957069486359,6.86557017681259e-36,1,Mentioned
EIC,wesley_pritchel,0.7377107108436906,0.7377107108436906,1.3363163225386857e-58,1,Mentioned
FAH,beasley_kemp,0.6113577154656027,0.6113577154656027,3.4980388546697737e-34,1,Mentioned
FAH,pap,0.5100520303245821,0.5100520303245821,1.3569084509602335e-22,1,Mentioned
FAH,pat_stamper,0.5658572042228701,0.5658572042228701,1.7539555489171217e-28,1,Mentioned
FAH,uncle_ike_mccaslin,0.5210864432095671,0.5210864432095671,1.1304733191948999e-23,1,Mentioned
GDM,buck_mccaslin,0.5048254360591761,0.5048254360591761,7.994138902707055e-235,1,Mentioned
GDM,lucius_quintus_carothers_mccaslin,0.5770952821221272,0.5770952821221272,1.8e-322,1,Mentioned
GOD,carothers_edmonds,0.7405020752565926,0.7405020752565926,1.4922870929549967e-49,2,Mentioned
GOD,hamp_worsham,0.5294319243033911,0.5294319243033911,1.739478952519393e-21,1,Mentioned
GOD,mollie_worsham_beauchamp,0.637065809678691,0.637065809678691,4.699210463656918e-33,1,Mentioned
GOD,samuel_worsham_beauchamp,0.8223700653468659,0.8223700653468659,1.4667525807051806e-69,1,Mentioned
HR,hawkshaw,0.72381970708261,0.72381970708261,8.008208649028865e-31,1,Mentioned
HR,susan_reed,0.5276529789178115,0.5276529789178115,1.9547974000955476e-14,1,Mentioned
HUW,lonnie_grinnup,0.8901869370969352,0.8901869370969352,1.730496942208989e-132,1,Mentioned
HUW,tyler_ballenbaugh,0.7265976159516779,0.7265976159516779,3.027405877093314e-64,1,Mentioned
HUW,unnamed_doctor,0.7049175647918904,0.7049175647918904,5.9686522696729944e-59,1,Mentioned
ID,aleck_sander,0.7638280946608275,0.7638280946608275,0,1,Mentioned
ID,chick_mallison,0.7278657885513848,0.7278657885513848,4.727078962768635e-289,1,Mentioned
ID,crawford_gowrie,0.7320301639183123,0.7320301639183123,5.330980553625063e-294,1,Mentioned
ID,miss_eunice_habersham,0.7378319575318458,0.7378319575318458,4.745518365445157e-301,1,Mentioned
ID,vinson_gowrie,0.7818163488771495,0.7818163488771495,0,1,Mentioned
KGB,max_harriss,0.5267180045316695,0.5267180045316695,1.066985830299985e-85,1,Mentioned
KGB,mrs._harriss,0.5203094044474508,0.5203094044474508,2.582023966514244e-83,1,Mentioned
LA,joanna_burden,0.5918101781417409,0.5918101781417409,0,1,Mentioned
LA,joe_christmas,0.6025940179154535,0.6025940179154535,0,1,Mentioned
