code,name,value,correlation_cof,p_value,n,presentmentioned
AA,charles_bon,0.9136286225255089,0.9136286225255089,0,1,Present
AA,henry_sutpen,0.9198588608082964,0.9198588608082964,0,1,Present
AA,quentin_compson,0.9047096789665324,0.9047096789665324,0,2,Present
ABH,"lucius_""luke""_provine",0.8623659467318779,0.8623659467318779,2.3973606794876334e-85,1,Present
ABH,major_de_spain,0.6647104395875969,0.6647104395875969,1.3959460172510907e-37,2,Present
ABH,ratliff,0.784008136978931,0.784008136978931,2.4198122821567175e-60,1,Present
AD,bland,0.6637549699445782,0.6637549699445782,1.1199861299047491e-74,1,Present
AD,comyn,0.6584437642941804,0.6584437642941804,4.101854561166152e-73,1,Present
AD,monaghan,0.676214125498154,0.676214125498154,1.7854117043424844e-78,1,Present
AD,sartoris,0.6590328336856603,0.6590328336856603,2.7612900910540065e-73,1,Present
AD,unnamed_american_military_policeman,0.5836229102282502,0.5836229102282502,4.6332164495673297e-54,1,Present
AD,unnamed_captured_german_aviator,0.6843998800585374,0.6843998800585374,4.498853697101369e-81,1,Present
AD,unnamed_patronne,0.5412502818637379,0.5412502818637379,2.6770302781001862e-45,1,Present
AD,unnamed_waiter,0.5063634814518634,0.5063634814518634,5.7543801219756374e-39,1,Present
ADP,johnny_sartoris,0.6669563867099824,0.6669563867099824,2.004104975947546e-52,1,Present
ADP,unnamed_narrator,0.5927405135490704,0.5927405135490704,5.031666742039791e-39,5,Present
AMB,bayard_sartoris,0.994738209660373,0.994738209660373,0,8,Present
AMB,colonel_john_sartoris,0.5548858171210964,0.5548858171210964,2.112998146647749e-34,2,Present
AMB,joby,0.6277034690316405,0.6277034690316405,3.3805248428176928e-46,3,Present
AMB,loosh,0.5972820054343788,0.5972820054343788,6.678342793650333e-41,1,Present
AMB,louvinia,0.630004157952576,0.630004157952576,1.2717286377603114e-46,2,Present
AMB,philadelphy,0.575792140712679,0.575792140712679,1.728999517266902e-37,1,Present
AMB,ringo,0.994738209660373,0.994738209660373,0,8,Present
AMB,rosa_millard,0.633016488613765,0.633016488613765,3.4917362993188655e-47,5,Present
AMB,sergeant_harrison,0.7938052220371491,0.7938052220371491,6.241882968777132e-90,1,Present
AMB,unnamed_union_cavalryman,0.5426034764077153,0.5426034764077153,1.0945432926511299e-32,1,Present
AMB,unnamed_union_general,0.5419759645889444,0.5419759645889444,1.333320031785489e-32,1,Present
BAR,sam_fathers,0.6019325222209091,0.6019325222209091,7.751152738834471e-26,2,Present
BAR,unnamed_boy_hunter,0.9249347680827121,0.9249347680827121,2.522150566211987e-105,2,Present
BB,abner_snopes,0.8851283339281236,0.8851283339281236,1.1745141244528877e-117,1,Present
BB,sarty_snopes,0.9976108696381822,0.9976108696381822,0,1,Present
BB,"snopes,_older__brother_of_sarty",0.5905719037485385,0.5905719037485385,2.7955276436043238e-34,1,Present
BE,chlory,0.5724425511465602,0.5724425511465602,7.790625368744134e-42,1,Present
BE,jake,0.5724425511465602,0.5724425511465602,7.790625368744134e-42,2,Present
BE,judge_howard_allison,0.9964458127741995,0.9964458127741995,0,1,Present
BE,lucius_peabody,0.5724425511465602,0.5724425511465602,7.790625368744134e-42,1,Present
CB,flem_snopes,0.6975559109132533,0.6975559109132533,1.7491635479738976e-45,1,Present
CB,tom-tom,0.5995942045122743,0.5995942045122743,5.777008397816398e-31,1,Present
CB,turl,0.660078912014989,0.660078912014989,2.7710396941610447e-39,1,Present
CRT,david_hogganbeck,0.8645483181157583,0.8645483181157583,5.630959397684492e-65,1,Present
CRT,ikkemotubbe,0.951741434019085,0.951741434019085,3.2900674911781157e-110,1,Present
CRT,log-in-the-creek,0.5092614819087371,0.5092614819087371,1.8665780491196695e-15,1,Present
CRT,unnamed_father_of_narrator,0.5725856018937351,0.5725856018937351,5.953222292437292e-20,1,Present
CRT,unnamed_sister_of_herman_basket,0.5476136936772522,0.5476136936772522,4.590075872736509e-18,1,Present
DD,captain_warren,0.6703891575993164,0.6703891575993164,2.6887004235550295e-73,1,Present
DD,ginsfarb,0.8394857472068125,0.8394857472068125,8.221987979348283e-148,1,Present
DD,jake,0.834285033939577,0.834285033939577,2.4420610887843417e-144,2,Present
DD,jock,0.9042102151394321,0.9042102151394321,2.2881836449008473e-205,1,Present
DD,unnamed_narrator,0.7775360033869052,0.7775360033869052,6.867782081994365e-113,5,Present
DEL,don_boyd,0.5083766446793425,0.5083766446793425,9.050491038680618e-18,1,Present
DEL,ike_mccaslin,0.9951426973512094,0.9951426973512094,1.0564204617948224e-250,1,Present
DEL,unnamed_youngest_negro,0.5184737528121616,0.5184737528121616,1.560159435621606e-18,1,Present
DS,minnie_cooper,0.6801423430392912,0.6801423430392912,1.5566276432520497e-49,1,Present
EIC,gavin_stevens,0.6909556937256527,0.6909556937256527,5.979078719965553e-54,6,Present
EIC,joel_flint,0.5439884750392396,0.5439884750392396,5.829984692086401e-30,1,Present
EIC,sheriff_hub,0.744964487941094,0.744964487941094,7.456088403656911e-67,1,Present
EIC,unnamed_narrator,0.6534608249646046,0.6534608249646046,1.5112583875379077e-46,5,Present
ELY,ailanthia,0.7452931158312401,0.7452931158312401,2.638208633793475e-88,1,Present
